Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Upstream_Device_Type,Downstream_Equipment_Number,Downstream_Equipment_ID,Downstream_Device_Type,Check_Type,Phase_Fault_Current_A,Phase_Upstream_Time_s,Phase_Downstream_Time_s,Phase_Margin_s,Phase_Required_Margin_s,Phase_Violation,Ground_Fault_Current_A,Ground_Upstream_Time_s,Ground_Downstream_Time_s,Ground_Margin_s,Ground_Required_Margin_s,Ground_Violation,Upstream_Phase_Pickup_A,Upstream_Phase_Curve,Upstream_Phase_TD,Upstream_Ground_Pickup_A,Upstream_Ground_Curve,Upstream_Ground_TD,Downstream_Phase_Pickup_A,Downstream_Phase_Curve,Downstream_Phase_TD,Downstream_Ground_Pickup_A,Downstream_Ground_Curve,Downstream_Ground_TD,Upstream_Total_Customers,Downstream_Total_Customers,Customers_Erroneously_Disconnected,Notes
67083402,4T39_38928842,K_65A,Fuse,367498113,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,1625.0,0.0309,0.0586,-0.0277,0.0,True,,,,,65K,,,,,,65K,,34,3,31,
67083402,5V15_38928400,T_80A,Fuse,5VL8_38936850,T_80A,Fuse,Fuse-Fuse,,,,,0.0,False,1337.0,0.2583,0.4013,-0.1430,0.0,True,,,,,80T,,,,,,80T,,26,15,11,
67083402,5VM2_38923030,T_40A,Fuse,2BJR85_779447520,T_80A,Fuse,Fuse-Fuse,,,,,0.0,False,1338.0,0.0676,0.4006,-0.3330,0.0,True,,,,,40T,,,,,,80T,,6,1,5,
67083402,4T39_38928842,K_65A,Fuse,38930003,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,1699.0,0.0282,0.0548,-0.0265,0.0,True,,,,,65K,,,,,,65K,,34,5,29,
67083402,4T39_38928842,K_65A,Fuse,5T10_38916523,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,1579.0,0.0327,0.0611,-0.0285,0.0,True,,,,,65K,,,,,,65K,,34,6,28,
67083402,2C4C13_787211359,T_40A,Fuse,2C4C22_787211431,T_40A,Fuse,Fuse-Fuse,,,,,0.0,False,1332.0,0.0682,0.1152,-0.0469,0.0,True,,,,,40T,,,,,,40T,,3,1,2,
67083402,2C4C13_787211359,T_40A,Fuse,2C4C24_787211436,T_40A,Fuse,Fuse-Fuse,,,,,0.0,False,1341.0,0.0673,0.1139,-0.0466,0.0,True,,,,,40T,,,,,,40T,,3,1,2,
67083402,2C1F32_784763850,T_40A,Fuse,38928294,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,1452.0,0.0577,0.0693,-0.0116,0.0,True,,,,,40T,,,,,,65K,,9,3,6,
67083402,4T39_38928842,K_65A,Fuse,38915680,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,1625.0,0.0309,0.0586,-0.0277,0.0,True,,,,,65K,,,,,,65K,,34,4,30,
67083402,2BJR74_789036094,E_100A,Fuse,5VM5_38923824,T_80A,Fuse,Fuse-Fuse,,,,,0.0,False,1341.0,0.2520,0.3986,-0.1467,0.0,True,,,,,100E_25kV,,,,,,80T,,69,31,38,
67131203,84567587,T_50A,Fuse,201Y16_675862897,T_40A,Fuse,Fuse-Fuse,,,,,0.0,False,2040.0,0.0466,0.0583,-0.0118,0.0,True,,,,,50T,,,,,,40T,,10,0,10,
67131203,2QDN60_854111083,VPST_800A,Recloser,L367P30_112948230,VPSS_800A,Recloser,Recloser-Recloser,,,,,0.22,False,1339.0,0.5824,0.3701,0.2123,0.22,True,,,,380.0000,U4,1.0000,,,,200.0000,U4,2.0000,826,72,754,
67131203,2QDN60_854111083,VPST_800A,Recloser,1DXM69_39010938,L_100A,Recloser,Recloser-Recloser,,,,,0.22,False,1474.0,0.4899,0.3855,0.1044,0.22,True,,,,380.0000,U4,1.0000,,,,200.0000,L,,826,115,711,
67271203,1XMK70_650937711,K_65A,Fuse,1X5X48_660619417,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,2205.0,0.0171,0.0375,-0.0204,0.0,True,,,,,65K,,,,,,65K,,8,2,6,
67271203,1XMK70_650937711,K_65A,Fuse,1X5X48_660619411,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,2205.0,0.0171,0.0375,-0.0204,0.0,True,,,,,65K,,,,,,65K,,8,6,2,
67271203,38923880,K_65A,Fuse,1X5X47_660619415,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,2164.0,0.0178,0.0385,-0.0207,0.0,True,,,,,65K,,,,,,65K,,5,1,4,
